"slug","category","title","description","url"
"should-you-tap-retirement-savings-to-fund-college","retirement","Should You Tap Retirement Savings to Fund College?","There are three things to consider before dipping into retirement savings to pay for college.","https://fast.wistia.net/embed/iframe/t1pl1j5sn1"
"social-security-by-the-numbers","retirement","Social Security: By the Numbers","Here are five facts about Social Security that might surprise you.","https://fast.wistia.net/embed/iframe/a0a8699fcb"
"retirement-accounts-when-you-change-your-job","retirement","Retirement Accounts When You Change Your Job","This video explores what to do with retirement accounts when you move on from your job.","https://fast.wistia.net/embed/iframe/04ep70mgut"
"18-years-worth-of-days","retirement","18 Years Worth of Days","The average retirement lasts for 18 years. What will you do with your days?","https://fast.wistia.net/embed/iframe/wgm6t9mlkp"
"preparation-is-the-key-to-retirement","retirement","Preparation is the Key to Retirement","The simplest ideas can sometimes make a massive difference over time. Enjoy this brief video to learn more.","https://fast.wistia.net/embed/iframe/4lruj2a20e"
"timing-your-retirement","retirement","Timing Your Retirement","This short video illustrates the importance of understanding sequence of returns risk.","https://fast.wistia.net/embed/iframe/h2yyhc93pw"
"what-you-need-to-know-about-social-security","retirement","What You Need to Know About Social Security","Every so often, you'll hear about Social Security benefits running out. But is there truth to the fears, or is it all hype?","https://fast.wistia.net/embed/iframe/wr5pplen7b"
"retirement-plan-detectives","retirement","Retirement Plan Detectives","Watch this fun video for tips on how to search for missing money.","https://fast.wistia.net/embed/iframe/l20ybw6pqx"
"retirement-and-quality-of-life","retirement","Retirement and Quality of Life","Asking the right questions about how you can save money for retirement without sacrificing your quality of life.","https://fast.wistia.net/embed/iframe/uqz0rppoob"
"dreaming-up-an-active-retirement","retirement","Dreaming Up an Active Retirement","When you retire, how will you treat your next chapter?","https://fast.wistia.net/embed/iframe/afc8cysfzi"
"encore-careers-push-your-boundaries","retirement","Encore Careers: Push Your Boundaries","Ready for retirement? Find out why many are considering encore careers and push your boundaries into something more, here.","https://fast.wistia.net/embed/iframe/5wuxm0sjod"
"the-long-run-women-and-retirement","retirement","The Long Run: Women and Retirement","For women, retirement strategy is a long race. It's helpful to know the route.","https://fast.wistia.net/embed/iframe/g1r1eq059s"
"re-retirement","retirement","RE: Retirement","How does your ideal retirement differ from reality, and what can we do to better align the two?","https://fast.wistia.net/embed/iframe/t70iven1qa"
"tuning-your-social-security-benefit","retirement","Tuning Your Social Security Benefit","When should you take your Social Security benefit?","https://fast.wistia.net/embed/iframe/nt1k6q7kcw"
"retirement-redefined","retirement","Retirement Redefined","Around the country, attitudes about retirement are shifting.","https://fast.wistia.net/embed/iframe/r1bfbui2y6"
"a-fruitful-retirement-social-security-benefit","retirement","A Fruitful Retirement: Social Security Benefit","Taking your Social Security benefits at the right time may help maximize your benefit.","https://fast.wistia.net/embed/iframe/2y8w5nj7cs"
"how-to-retire-early","retirement","How to Retire Early","Retiring early sounds like a dream come true, but it's important to take a look at the cold, hard facts.","https://fast.wistia.net/embed/iframe/yr67nw85cs"
"a-bucket-plan-to-go-with-your-bucket-list","retirement","A Bucket Plan to Go with Your Bucket List","A bucket plan can help you be better prepared for a comfortable retirement.","https://fast.wistia.net/embed/iframe/3rb4tugk4z"
"retiring-the-4-percent-rule","retirement","Retiring the 4% Rule","A portfolio created with your long-term objectives in mind is crucial as you pursue your dream retirement.","https://fast.wistia.net/embed/iframe/xyurs11acj"
"what-can-a-million-dollars-buy-you","retirement","What Can a Million Dollars Buy You?","$1 million in a diversified portfolio could help finance part of your retirement.","https://fast.wistia.net/embed/iframe/ygo1k3bmhc"
"rightsizing-for-retirement","retirement","Rightsizing for Retirement","What does your home really cost?","https://fast.wistia.net/embed/iframe/e92575888d"
"perception-vs-reality","retirement","Perception vs. Reality","There's an alarming difference between perception and reality for current and future retirees.","https://fast.wistia.net/embed/iframe/e36b7048aa"
"behavioral-finance","investment","Behavioral Finance","An amusing and whimsical look at behavioral finance best practices for investors.","https://fast.wistia.net/embed/iframe/r8ony021gy"
"bull-and-bear-go-to-market","investment","Bull and Bear Go To Market","Learn about the difference between bulls and bears—markets, that is!","https://fast.wistia.net/embed/iframe/cemjqjqqwr"
"risk-tolerance-whats-your-style","investment","Risk Tolerance: What's Your Style?","Learn about what risk tolerance really means in this helpful and insightful video.","https://fast.wistia.net/embed/iframe/2puou8lii7"
"it-was-the-best-of-times-it-was-the-worst-of-times","investment","It Was the Best of Times, It Was the Worst of Times","All about how missing the best market days (or the worst!) might affect your portfolio.","https://fast.wistia.net/embed/iframe/29zhv80w3z"
"the-cost-of-procrastination","investment","The Cost of Procrastination","Procrastination can be costly. When you get a late start, it may be difficult to make up for lost time.","https://fast.wistia.net/embed/iframe/82a629e308"
"forecast","investment","Forecast","This short video helps explain why markets can be as unpredictable as the weather.","https://fast.wistia.net/embed/iframe/4xlv2b8m1x"
"investments","investment","Investments","You've made investments your whole life. Work with us to help make the most of them.","https://fast.wistia.net/embed/iframe/z0x64zkwju"
"from-boats-to-brokers","investment","From Boats to Brokers","From the Dutch East India Company to Wall St., the stock market has a long and storied history.","https://fast.wistia.net/embed/iframe/xpr09hljl1"
"jane-bond-scaling-the-ladder","investment","Jane Bond: Scaling the Ladder","Agent Jane Bond is on the case, uncovering the mystery of bond laddering.","https://fast.wistia.net/embed/iframe/1t2nj1yoxr"
"jane-bond-infiltrating-the-market","investment","Jane Bond: Infiltrating the Market","Agent Jane Bond is on the case, cracking the code on bonds.","https://fast.wistia.net/embed/iframe/0nip4xmjjy"
"the-fed-and-how-it-got-that-way","investment","The Fed and How It Got That Way","Here is a quick history of the Federal Reserve and an overview of what it does.","https://fast.wistia.net/embed/iframe/bp4fky90r9"
"bursting-the-bubble","investment","Bursting the Bubble","Tulips were the first, but they won't be the last. What forms a ""bubble"" and what causes them to burst?","https://fast.wistia.net/embed/iframe/ubqprndngj"
"inflation-and-your-portfolio","investment","Inflation and Your Portfolio","Even low inflation rates can pose a threat to investment returns.","https://fast.wistia.net/embed/iframe/hj0ott9b25"
"the-junk-drawer-approach-to-investing","investment","The Junk Drawer Approach to Investing","It's easy to let investments accumulate like old receipts in a junk drawer.","https://fast.wistia.net/embed/iframe/knbcqk7ou1"
"global-and-international-funds","investment","Global and International Funds","Investors seeking world investments can choose between global and international funds. What's the difference?","https://fast.wistia.net/embed/iframe/r080m1152f"
"are-alternative-investments-right-for-you","investment","Are Alternative Investments Right for You?","With alternative investments, it's critical to sort through the complexity.","https://fast.wistia.net/embed/iframe/hfphbxnch2"
"the-business-cycle","investment","The Business Cycle","How will you weather the ups and downs of the business cycle?","https://fast.wistia.net/embed/iframe/zgicvscvdg"
